date,consumer_exit_flow_kwh,interconnection_exit_flow_kwh,storage_exit_flow_kwh,total_exit_flow_kwh,storage_twh,agsi_consumption_gwh,injection_gwh,withdrawal_gwh,storage_pct_full,temperature_2m_mean,temperature_2m_min,temperature_2m_max,hdd,demand_gwh,total_system_offtake_gwh,storage_exit_gwh,interconnection_exit_gwh,stl_trend,stl_seasonal,stl_resid
2025-06-10,328107307.99,1140867748.12,997549007.929,2466524064.039,108.9713,903.9,861.64,15.0,44.06,15.781249,12.25,20.1,2.218751,328.10730799,2466.524064039,997.549007929,1140.86774812,462.5655073260902,-35.48030305836129,-98.97789627772892
2025-06-11,355479761.22,1201287175.47,1030061047.53,2586827984.2200003,109.6807,903.9,736.53,8.7,44.34,16.589584,9.0,22.85,1.4104156,355.47976122,2586.8279842200004,1030.06104753,1201.28717547,462.64949709112847,-73.71168286154074,-33.45805300958773
2025-06-12,352292519.45,1226338358.9099998,1060678628.335,2639309506.6949997,110.3668,903.9,699.39,17.1,44.62,18.670832,11.7,24.9,0.0,352.29251945,2639.3095066949995,1060.678628335,1226.33835891,462.73392706525175,-109.15091010970822,-1.2904975055435557
2025-06-13,344576964.37,1236756628.3400002,943503935.216,2524837527.926,111.049,903.9,835.37,174.0,44.9,22.977083,14.75,30.0,0.0,344.57696437,2524.837527926,943.503935216,1236.7566283400001,462.81879720225874,-107.61254115183259,-10.62929168042615
2025-06-14,326235486.11,1136480030.73,1404186378.427,2866901895.267,112.185,903.9,1144.14,10.5,45.36,24.014582,17.6,32.85,0.0,326.23548611,2866.9018952670003,1404.1863784270001,1136.48003073,462.9041067441445,-106.83675827055465,-29.831862363589835
2025-06-15,318968642.36,1111691927.26,1247297847.108,2677958416.7279997,113.2796,903.9,1099.73,5.5,45.8,18.858334,16.25,22.2,0.0,318.96864236,2677.9584167279995,1247.297847108,1111.69192726,462.98985426356126,-103.67453983632105,-40.346672067240206
2025-06-16,365647652.8,1108701275.854,1096730535.526,2571079464.1800003,113.9349,903.9,671.57,16.2,46.06,20.160416,13.4,25.9,0.0,365.6476528,2571.0794641800003,1096.730535526,1108.7012758540002,463.07603816231494,-71.53006419349782,-25.89832116881712
2025-06-17,380267622.5,1198765229.382,912924117.363,2491956969.245,114.5381,903.9,638.6,35.4,46.31,22.277082,16.3,27.2,0.0,380.2676225,2491.956969245,912.924117363,1198.765229382,463.1626568304159,-59.151419195944044,-23.74361513447184
2025-06-18,359212111.02,1154129261.977,923084466.543,2436425839.54,115.2356,903.9,693.65,5.6,46.59,19.160418,15.25,22.2,0.0,359.21211102,2436.4258395399997,923.084466543,1154.129261977,463.24970863239537,-53.481385015150884,-50.556212597244496
2025-06-19,329365815.81,1188806573.476,1006832240.95,2525004630.236,116.0464,903.9,815.54,4.6,46.92,18.077082,11.15,23.55,0.0,329.36581581,2525.004630236,1006.83224095,1188.806573476,463.33719206055315,-80.26633399746859,-53.705042253084514
2025-06-20,349766918.84000003,1204476116.152,1067681696.431,2621924731.4230003,116.8073,903.9,829.41,8.5,47.23,21.856253,12.5,28.6,0.0,349.76691884,2621.924731423,1067.681696431,1204.476116152,463.4251058925215,-74.44062800676492,-39.21755904575656
2025-06-21,310948486.94,1114595267.054,1471790775.84,2897334529.8339996,117.993,903.9,1186.9,1.2,47.7,27.05208,17.3,34.05,0.0,310.94848694,2897.3345298339996,1471.79077584,1114.5952670539998,463.5134485601719,-76.15688823878739,-76.4080733813845
2025-06-22,291795621.27,1101129316.672,1503045064.52,2895970002.462,119.1683,903.9,1186.8,6.8,48.18,22.977081,16.85,27.45,0.0,291.79562126999997,2895.9700024619997,1503.0450645199999,1101.129316672,463.60221816795195,-73.21224180663826,-98.59435509131373
2025-06-23,365273047.61,1112538931.072,1263332776.265,2741144754.9470005,119.9722,903.9,891.06,27.9,48.5,17.852083,14.1,22.5,0.1479168,365.27304761,2741.1447549470004,1263.3327762650001,1112.538931072,463.69141299404254,-59.46317269201747,-38.95519269202509
